172705;3.870;108.880;964.150;960.280
31409;2.240;107.310;942.930;940.690
200110;9.870;101.580;877.790;867.920
32430;3.150;66.830;826.700;823.550
30644;90.220;496.280;902.330;812.110
59689;1.920;73.770;806.270;804.350
286095;56.720;455.790;854.860;798.140
12167;32.460;431.340;830.210;797.750
180463;2.920;67.120;800.070;797.150
48290;47.930;445.730;843.540;795.610
235046;75.330;472.320;869.300;793.970
21460;3.440;114.980;793.900;790.450
262737;4.970;79.520;795.260;790.290
158585;3.170;81.900;786.900;783.730
986;33.050;422.080;811.100;778.040
12157;2.230;73.980;777.970;775.740
115415;21.160;407.280;793.400;772.240
274502;1.990;60.210;770.590;768.600
164469;35.820;418.280;800.730;764.910
299333;1.840;52.620;765.980;764.140
167454;1.590;53.260;765.390;763.800
294090;1.530;67.180;764.790;763.270
224254;1.720;41.400;764.740;763.020
25792;22.590;104.470;782.940;760.350
105810;3.100;70.450;763.380;760.280
125473;72.010;451.650;831.300;759.290
192568;210.730;590.010;969.300;758.570
290146;81.180;458.190;835.190;754.010
245861;90.010;466.730;843.440;753.430
41318;120.330;496.110;871.890;751.560
75007;98.820;474.420;850.020;751.190
297439;23.700;398.620;773.540;749.840
132093;12.700;142.450;759.920;747.220
169512;3.650;111.820;748.310;744.660
142350;64.980;435.840;806.710;741.730
39164;2.440;60.370;739.390;736.960
209123;2.210;72.140;739.140;736.940
172652;106.240;470.160;834.080;727.830
181963;2.650;47.950;728.740;726.090
18605;4.000;71.670;729.920;725.920
74144;97.220;458.800;820.390;723.170
110567;73.780;434.690;795.600;721.820
127819;92.440;453.040;813.640;721.210
113502;3.010;78.970;723.510;720.500
233969;3.790;66.190;723.770;719.970
226944;2.380;51.930;722.150;719.770
73697;3.830;65.230;723.130;719.300
147623;59.090;418.020;776.950;717.870
165538;91.410;450.190;808.960;717.550
95796;11.420;116.050;728.730;717.310
